year,polz,polz_s
1981,0.04738843323556785,0.13513486217723458
1982,0.15015004062544945,0.1333521212983404
1983,0.3542183406113537,0.1751793959779882
1984,0.11974899634418124,0.17861434897649725
1985,0.1706822722792547,0.1684376166191614
1986,0.17807173396428977,0.19457427676490577
1987,0.2614177303287575,0.2168278147055674
1988,0.21769725830406172,0.18952359824410897
1989,0.1466717731707623,0.1949081536094252
1990,0.0915364246035173,0.17907898407427772
1991,0.10076306686829706,0.16361725065507918
1992,0.22665840191052755,0.15666538497143317
1993,0.39795968106960067,0.19271786952454098
1994,0.3907328116069746,0.24153007721178343
1995,0.2054755779682096,0.26431790788472187
1996,0.2773254390796157,0.29963038232698563
1997,0.2321244173756698,0.3007235854200141
1998,0.23264218844050566,0.26766008689419507
1999,0.286724773983122,0.24685847936942457
2000,0.2953713432505669,0.26483763242589603
2001,0.3924982703521892,0.2878721986804107
2002,0.259053901467879,0.29325809549885257
2003,0.1537144183138648,0.2774725414735244
2004,0.41112372844475875,0.30235233236585174
2005,0.5301873692513773,0.3493155375660138
2006,0.4130822304490974,0.35343232958539544
2007,0.5452215163370543,0.4106658525592305
2008,0.477224621115909,0.47536789311963934
2009,0.7167362868350939,0.5364904047977064
2010,0.774361379140382,0.5853252067755074
2011,0.662183746486072,0.6351455099829022
2012,0.6002150902813155,0.6461442247717545
2013,0.7331286202805499,0.6973250246046827
2014,0.6588904694167851,0.6857558611210209
2015,0.6382266887164483,0.6585289230362341
2016,0.62911012208765,0.6519141981565497
2017,0.7364832077640149,0.6791678216530896
2018,0.5688591995948535,0.6463139375159503
2019,0.6925395843641761,0.6530437605054286
2020,0.7865264495883855,0.682703712679816
